alpaca_symbol,qlib_symbol,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded,universe_snapshot_source
SO,SO,SO,Southern Company,Utilities,Electric Utilities,"Atlanta, Georgia",1957-03-04,92122,1945,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
SOLV,SOLV,SOLV,Solventum,Health Care,Health Care Technology,"Saint Paul, Minnesota",2024-04-01,1964738,2023,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
SPG,SPG,SPG,Simon Property Group,Real Estate,Retail REITs,"Indianapolis, Indiana",2002-06-26,1063761,2003,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
SPGI,SPGI,SPGI,S&P Global,Financials,Financial Exchanges & Data,"New York City, New York",1957-03-04,64040,1917,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
SRE,SRE,SRE,Sempra,Utilities,Multi-Utilities,"San Diego, California",2017-03-17,1032208,1998,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
STE,STE,STE,Steris,Health Care,Health Care Equipment,"Dublin, Ireland",2019-12-23,1757898,1985,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
STLD,STLD,STLD,Steel Dynamics,Materials,Steel,"Fort Wayne, Indiana",2022-12-22,1022671,1993,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
STT,STT,STT,State Street Corporation,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",2003-03-14,93751,1792,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
STX,STX,STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",2012-07-02,1137789,1979,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
STZ,STZ,STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,"Rochester, New York",2005-07-01,16918,1945,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
SW,SW,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,"Dublin, Ireland",2024-07-08,2005951,1934,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
SWK,SWK,SWK,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components,"New Britain, Connecticut",1982-09-30,93556,1843,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
SWKS,SWKS,SWKS,Skyworks Solutions,Information Technology,Semiconductors,"Irvine, California",2015-03-12,4127,2002,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
SYF,SYF,SYF,Synchrony Financial,Financials,Consumer Finance,"Stamford, Connecticut",2015-11-18,1601712,2003,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
SYK,SYK,SYK,Stryker Corporation,Health Care,Health Care Equipment,"Kalamazoo, Michigan",2000-12-12,310764,1941,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
SYY,SYY,SYY,Sysco,Consumer Staples,Food Distributors,"Houston, Texas",1986-12-31,96021,1969,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
T,T,T,AT&T,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",1983-11-30,732717,1983 (1885),https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
TAP,TAP,TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,"Chicago, Illinois",1976-06-30,24545,"2005 (Molson 1786, Coors 1873)",https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
TDG,TDG,TDG,TransDigm Group,Industrials,Aerospace & Defense,"Cleveland, Ohio",2016-06-03,1260221,1993,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
TDY,TDY,TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,"Thousand Oaks, California",2020-06-22,1094285,1960,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
TECH,TECH,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,"Minneapolis, Minnesota",2021-08-30,842023,1976,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
TEL,TEL,TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,"Galway, Ireland",2011-10-17,1385157,2007,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
TER,TER,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,"North Reading, Massachusetts",2020-09-21,97210,1960,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
TFC,TFC,TFC,Truist Financial,Financials,Diversified Banks,"Charlotte, North Carolina",1997-12-04,92230,1872,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
TGT,TGT,TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,"Minneapolis, Minnesota",1976-12-31,27419,1902,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
TJX,TJX,TJX,TJX Companies,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",1985-09-30,109198,1987,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
TKO,TKO,TKO,TKO Group Holdings,Communication Services,Movies & Entertainment,"New York City, New York",2025-03-24,1973266,2023,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
TMO,TMO,TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts",2004-08-03,97745,2006 (1902),https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
TMUS,TMUS,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,1283699,1994,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
TPL,TPL,TPL,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production,"Dallas, Texas",2024-11-26,1811074,1888,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
TPR,TPR,TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",2004-09-01,1116132,2017,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
TRGP,TRGP,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",2022-10-12,1389170,2005,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
TRMB,TRMB,TRMB,Trimble Inc.,Information Technology,Application Software,"Westminster, Colorado",2021-01-21,864749,1978,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
TROW,TROW,TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",2019-07-29,1113169,1937,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
TRV,TRV,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,"New York City, New York",2002-08-21,86312,1853,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
TSCO,TSCO,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee",2014-01-24,916365,1938,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
TSLA,TSLA,TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,"Austin, Texas",2020-12-21,1318605,2003,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
TSN,TSN,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",2005-08-10,100493,1935,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
TT,TT,TT,Trane Technologies,Industrials,Building Products,"Dublin, Ireland",2010-11-17,1466258,1871,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
TTD,TTD,TTD,Trade Desk (The),Communication Services,Advertising,"Ventura, California",2025-07-18,1671933,2009,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
TTWO,TTWO,TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,"New York City, New York",2018-03-19,946581,1993,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
TXN,TXN,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,97476,1930,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
TXT,TXT,TXT,Textron,Industrials,Aerospace & Defense,"Providence, Rhode Island",1978-12-31,217346,1923,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
TYL,TYL,TYL,Tyler Technologies,Information Technology,Application Software,"Plano, Texas",2020-06-22,860731,1966,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
UAL,UAL,UAL,United Airlines Holdings,Industrials,Passenger Airlines,"Chicago, Illinois",2015-09-03,100517,1967,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
UBER,UBER,UBER,Uber,Industrials,Passenger Ground Transportation,"San Francisco, California",2023-12-18,1543151,2009,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
UDR,UDR,UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,"Highlands Ranch, Colorado",2016-03-07,74208,1972,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
UHS,UHS,UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",2014-09-20,352915,1979,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
ULTA,ULTA,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,"Bolingbrook, Illinois",2016-04-18,1403568,1990,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
UNH,UNH,UNH,UnitedHealth Group,Health Care,Managed Health Care,"Eden Prairie, Minnesota",1994-07-01,731766,1977,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
UNP,UNP,UNP,Union Pacific Corporation,Industrials,Rail Transportation,"Omaha, Nebraska",1957-03-04,100885,1862,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
UPS,UPS,UPS,United Parcel Service,Industrials,Air Freight & Logistics,"Sandy Springs, Georgia",2002-07-22,1090727,1907,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
URI,URI,URI,United Rentals,Industrials,Trading Companies & Distributors,"Stamford, Connecticut",2014-09-20,1067701,1997,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
USB,USB,USB,U.S. Bancorp,Financials,Diversified Banks,"Minneapolis, Minnesota",1999-11-01,36104,1968,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
V,V,V,Visa Inc.,Financials,Transaction & Payment Processing Services,"San Francisco, California",2009-12-21,1403161,1958,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
VEEV,VEEV,VEEV,Veeva Systems,Health Care,Health Care Technology,"Pleasanton, California",2026-05-07,1393052,2007,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
VICI,VICI,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,"New York City, New York",2022-06-08,1705696,2017,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
VLO,VLO,VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",2002-12-20,1035002,1980,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
VLTO,VLTO,VLTO,Veralto,Industrials,Environmental & Facilities Services,"Waltham, Massachusetts",2023-10-02,1967680,2023,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
VMC,VMC,VMC,Vulcan Materials Company,Materials,Construction Materials,"Birmingham, Alabama",1999-06-30,1396009,1909,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
VMRK,VMRK,VMRK,Vivmark Residential,Real Estate,Multi-Family Residential REITs,"Chicago, Illinois",2001-12-03,906107,1969,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
VRSK,VRSK,VRSK,Verisk Analytics,Industrials,Research & Consulting Services,"Jersey City, New Jersey",2015-10-08,1442145,1971,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
VRSN,VRSN,VRSN,Verisign,Information Technology,Internet Services & Infrastructure,"Reston, Virginia",2006-02-01,1014473,1995,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
VRT,VRT,VRT,Vertiv,Industrials,Electrical Components & Equipment,"Westerville, Ohio",2026-03-23,1674101,2016,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
VRTX,VRTX,VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,"Boston, Massachusetts",2013-09-23,875320,1989,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
VST,VST,VST,Vistra Corp.,Utilities,Electric Utilities,"Irving, Texas",2024-05-08,1692819,2016,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
VTR,VTR,VTR,Ventas,Real Estate,Health Care REITs,"Chicago, Illinois",2009-03-04,740260,1998,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
VTRS,VTRS,VTRS,Viatris,Health Care,Pharmaceuticals,"Pittsburgh, Pennsylvania",2004-04-23,1792044,1961,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
VZ,VZ,VZ,Verizon,Communication Services,Integrated Telecommunication Services,"New York City, New York",1983-11-30,732712,1983 (1877),https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
WAB,WAB,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,"Pittsburgh, Pennsylvania",2019-02-27,943452,1999 (1869),https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
WAT,WAT,WAT,Waters Corporation,Health Care,Life Sciences Tools & Services,"Milford, Massachusetts",2002-01-02,1000697,1958,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
WBD,WBD,WBD,Warner Bros. Discovery,Communication Services,Broadcasting,"New York City, New York",2022-04-11,1437107,2022 (Warner Bros. 1923),https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
WDAY,WDAY,WDAY,"Workday, Inc.",Information Technology,Application Software,"Pleasanton, California",2024-12-23,1327811,2005,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
WDC,WDC,WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",2009-07-01,106040,1970,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
WEC,WEC,WEC,WEC Energy Group,Utilities,Electric Utilities,"Milwaukee, Wisconsin",2008-10-31,783325,1896,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
WELL,WELL,WELL,Welltower,Real Estate,Health Care REITs,"Toledo, Ohio",2009-01-30,766704,1970,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
WFC,WFC,WFC,Wells Fargo,Financials,Diversified Banks,"San Francisco, California",1976-06-30,72971,1852,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
WM,WM,WM,Waste Management,Industrials,Environmental & Facilities Services,"Houston, Texas",1998-08-31,823768,1968,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
WMB,WMB,WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",1975-03-31,107263,1908,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
WMT,WMT,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
WRB,WRB,WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",2019-12-05,11544,1967,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
WSM,WSM,WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,"San Francisco, California",2025-03-24,719955,1956,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
WST,WST,WST,West Pharmaceutical Services,Health Care,Health Care Supplies,"Exton, Pennsylvania",2020-05-22,105770,1923,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
WTW,WTW,WTW,Willis Towers Watson,Financials,Insurance Brokers,"London, United Kingdom",2016-01-05,1140536,2016,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
WY,WY,WY,Weyerhaeuser,Real Estate,Timber REITs,"Seattle, Washington",1979-10-01,106535,1900,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
WYNN,WYNN,WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",2008-11-14,1174922,2002,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
XEL,XEL,XEL,Xcel Energy,Utilities,Multi-Utilities,"Minneapolis, Minnesota",1957-03-04,72903,1909,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
XOM,XOM,XOM,ExxonMobil,Energy,Integrated Oil & Gas,"Irving, Texas",1957-03-04,2115436,1999,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
XYL,XYL,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,"White Plains, New York",2011-11-01,1524472,2011,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
XYZ,XYZ,XYZ,"Block, Inc.",Financials,Transaction & Payment Processing Services,none,2025-07-23,1512673,2009,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
YUM,YUM,YUM,Yum! Brands,Consumer Discretionary,Restaurants,"Louisville, Kentucky",1997-10-06,1041061,1997,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
ZBH,ZBH,ZBH,Zimmer Biomet,Health Care,Health Care Equipment,"Warsaw, Indiana",2001-08-07,1136869,1927,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
ZBRA,ZBRA,ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,"Lincolnshire, Illinois",2019-12-23,877212,1969,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
ZTS,ZTS,ZTS,Zoetis,Health Care,Pharmaceuticals,"Parsippany, New Jersey",2013-06-21,1555280,1952,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
